ER-Concentration,Time/sec,Melting point,Boiling point,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumValenceElectrons, Current/A
0.001,25,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.00000591
0.001,30,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000005679
0.001,35,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000005455
0.001,65,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004636
0.001,70,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004653
0.001,75,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004635
0.001,105,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004195
0.001,110,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004288
0.001,115,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004317
0.001,145,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000003983
0.001,150,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004103
0.001,155,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000004157
0.001,185,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000003852
0.001,190,-97.8,64.8,32.026,1,-0.04,2,28.01,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,-0.391,8.143,32.042,1,1,1,1,1,0,0,14,-0.000003987
